,name,ratings,party,year
46,Joe Biden,"[0.6906857490539551, 0.7986980080604553, 0.7554525136947632, 0.7166048288345337, 0.7796600461006165, 0.6700280904769897, 0.7500516176223755, 0.8288445472717285, 0.6948990821838379, 0.7878686785697937, 0.7628201842308044, 0.749817430973053, 0.777678370475769, 0.8355964422225952, 0.8254232406616211, 0.7298142910003662, 0.580166220664978, 0.82647705078125, 0.7142466902732849, 0.8543378114700317, 0.8369636535644531, 0.45256558060646057, 0.7195863127708435, 0.9229292273521423, 0.8734457492828369, 0.8491910099983215, 0.6947005391120911, 0.8433282375335693, 0.7709070444107056, 0.8609004616737366, 0.8611786961555481, 0.6809760928153992, 0.8028085231781006, 0.6111620664596558, 0.8210771083831787, 0.7244328856468201, 0.8885443806648254, 0.7716252207756042, 0.8195608258247375, 0.6817262768745422, 0.5879644751548767, 0.8167144656181335, 0.665858805179596, 0.855121374130249, 0.8657780885696411, 0.7683776617050171, 0.7785255312919617, 0.7911251187324524, 0.7032352089881897, 0.873782217502594, 0.7772565484046936, 0.7734293937683105, 0.8026124238967896, 0.7721861004829407, 0.758430004119873, 0.831489622592926, 0.7140692472457886, 0.6868489384651184, 0.7489032745361328, 0.8247079253196716, 0.7702812552452087, 0.7085506916046143, 0.8299793601036072, 0.5956659913063049, 0.7897114753723145, 0.7771821618080139, 0.8180269002914429, 0.4562065899372101, 0.5339497923851013, 0.8740637898445129, 0.7883885502815247, 0.7347931265830994, 0.8183495402336121, 0.6271675229072571, 0.822725236415863, 0.737362265586853, 0.8267648816108704, 0.7471440434455872, 0.8655697107315063, 0.8324532508850098, 0.7057397961616516, 0.8373253345489502, 0.7330820560455322, 0.760093092918396, 0.5992652177810669, 0.8334558606147766, 0.8886089324951172, 0.8320584893226624, 0.8073265552520752, 0.6982502341270447, 0.7336174845695496, 0.6490006446838379, 0.8550265431404114, 0.7728224992752075, 0.5025984048843384, 0.7763162851333618, 0.8424814343452454, 0.8250739574432373, 0.7952654361724854, 0.8486924171447754]",D,2021
45,Donald Trump,"[0.7561428546905518, 0.38815921545028687, 0.6630064249038696, 0.4424003064632416, 0.1088499054312706, 0.4716854989528656, 0.5990411639213562, 0.3566760718822479, 0.3253231346607208, 0.7595434188842773, 0.5434826016426086, 0.24399253726005554, 0.31991732120513916, 0.3717164099216461, 0.12655121088027954, 0.3774244487285614, 0.7450923919677734, 0.5145465135574341, 0.32685866951942444, 0.7672263979911804, 0.7259366512298584, 0.43492400646209717, 0.5947304368019104, 0.369490385055542, 0.6474274396896362, 0.7020947337150574, 0.42478904128074646, 0.23827555775642395, 0.2281644642353058, 0.5852676630020142, 0.5469216108322144, 0.6862099766731262, 0.5906662344932556, 0.5409560203552246, 0.49178794026374817, 0.6040472984313965, 0.5847805738449097, 0.28560346364974976, 0.3271300196647644, 0.450195848941803, 0.6581569910049438, 0.3776402771472931, 0.6109991073608398, 0.6379708647727966, 0.41070830821990967, 0.8515680432319641, 0.67427659034729, 0.7043611407279968, 0.6238088011741638, 0.7417187690734863, 0.4777974784374237, 0.29570361971855164, 0.8040661215782166, 0.4937584102153778, 0.5339765548706055, 0.5229601263999939, 0.2181071639060974, 0.6263547539710999, 0.5002816319465637, 0.45684635639190674, 0.711905300617218, 0.7235031723976135, 0.1383344680070877, 0.7363526821136475, 0.635237455368042, 0.6841322183609009, 0.2906208038330078, 0.6179317831993103, 0.4877393841743469, 0.7537829279899597, 0.3618437945842743, 0.22828641533851624, 0.09237238764762878, 0.48920005559921265, 0.2985604405403137, 0.4321211576461792, 0.4451035261154175, 0.470490425825119, 0.24200859665870667, 0.6481828093528748, 0.3362732231616974, 0.7665410041809082, 0.2188015580177307, 0.3383239805698395, 0.7604082822799683, 0.5697253942489624, 0.3304538428783417, 0.4061320424079895, 0.644343376159668, 0.5801751017570496, 0.8177447319030762, 0.5431220531463623, 0.7448316216468811, 0.6760257482528687, 0.7039297223091125, 0.5730019211769104, 0.397140234708786, 0.1145823523402214, 0.3912224769592285, 0.07946838438510895]",R,2017
44,Barack Obama,"[0.9014999270439148, 0.8797608613967896, 0.8579108119010925, 0.9089637398719788, 0.8681386113166809, 0.9316404461860657, 0.8824067115783691, 0.888329029083252, 0.8350794911384583, 0.8727257251739502, 0.8967370986938477, 0.936111330986023, 0.9059709906578064, 0.7717410922050476, 0.9054263830184937, 0.8850138187408447, 0.8859433531761169, 0.898979127407074, 0.8870028853416443, 0.9412758350372314, 0.8894551396369934, 0.9004659056663513, 0.8884022831916809, 0.9061827659606934, 0.9296635389328003, 0.8802815675735474, 0.874335765838623, 0.9350584745407104, 0.907976508140564, 0.8903381824493408, 0.8900574445724487, 0.8868042826652527, 0.8978144526481628, 0.9184662103652954, 0.8482452034950256, 0.8815338015556335, 0.8802987337112427, 0.9092524647712708, 0.8637896180152893, 0.8930435180664062, 0.9445705413818359, 0.9339983463287354, 0.922991156578064, 0.8863981366157532, 0.8506261706352234, 0.9388411641120911, 0.913852334022522, 0.9196792840957642, 0.9227672815322876, 0.9053968787193298, 0.8883731961250305, 0.8732973337173462, 0.9078063368797302, 0.8448315858840942, 0.819396436214447, 0.8646188974380493, 0.9032310247421265, 0.9272331595420837, 0.8678052425384521, 0.9390156269073486, 0.9040282368659973, 0.8299354314804077, 0.876105785369873, 0.8411332964897156, 0.8531935811042786, 0.6645529270172119, 0.9088292121887207, 0.9321052432060242, 0.8158005475997925, 0.929509162902832, 0.8811287879943848, 0.8430757522583008, 0.8633738160133362, 0.8824417591094971, 0.8785325288772583, 0.907658576965332, 0.8709569573402405, 0.9146788716316223, 0.8737018704414368, 0.8985384106636047, 0.8540347814559937, 0.929439902305603, 0.9324367046356201, 0.8962039351463318, 0.8724509477615356, 0.9196100234985352, 0.8818269371986389, 0.9254515767097473, 0.7391900420188904, 0.9251843094825745, 0.8820942640304565, 0.7976898550987244, 0.9024813175201416, 0.9478444457054138, 0.9219068884849548, 0.7495096325874329, 0.8016191720962524, 0.8371052145957947, 0.8541577458381653, 0.9472602605819702]",D,2009
43,George W. Bush,"[0.5188187956809998, 0.6337680816650391, 0.4924491345882416, 0.3846833109855652, 0.6117992401123047, 0.7299734950065613, 0.48959916830062866, 0.7876501679420471, 0.42780447006225586, 0.7446644902229309, 0.7659169435501099, 0.8484753966331482, 0.7083900570869446, 0.527373194694519, 0.4600233733654022, 0.42694735527038574, 0.5054858922958374, 0.8658505082130432, 0.6444122195243835, 0.33162686228752136, 0.589059054851532, 0.724415123462677, 0.6431161165237427, 0.567872166633606, 0.6233343482017517, 0.7404173016548157, 0.6567525863647461, 0.6629521250724792, 0.5256838798522949, 0.7347353100776672, 0.5937885046005249, 0.5611509084701538, 0.5501428842544556, 0.7642106413841248, 0.455449640750885, 0.8116241693496704, 0.7810685038566589, 0.5599232912063599, 0.6564114689826965, 0.4888271987438202, 0.7872604727745056, 0.33718088269233704, 0.8212288618087769, 0.45697999000549316, 0.6130746006965637, 0.7685077786445618, 0.7030032873153687, 0.7197663187980652, 0.8513386845588684, 0.7864909172058105, 0.7003803253173828, 0.789363443851471, 0.6545312404632568, 0.8908944725990295, 0.5322566628456116, 0.6769496202468872, 0.7749142050743103, 0.6519101858139038, 0.7924955487251282, 0.30652809143066406, 0.6665308475494385, 0.7890125513076782, 0.5629449486732483, 0.42390620708465576, 0.7691434621810913, 0.6197950839996338, 0.721441924571991, 0.4858752489089966, 0.5750401020050049, 0.7182169556617737, 0.47097864747047424, 0.40590596199035645, 0.5643048286437988, 0.8185350298881531, 0.39552393555641174, 0.5367512702941895, 0.8408910632133484, 0.601469874382019, 0.7974685430526733, 0.34953486919403076, 0.7945634126663208, 0.7586583495140076, 0.6344953179359436, 0.7497954964637756, 0.6475824117660522, 0.651128351688385, 0.6644923090934753, 0.5750551819801331, 0.68606036901474, 0.4891546070575714, 0.686406672000885, 0.8308196067810059, 0.6673746109008789, 0.8308773040771484, 0.7922626733779907, 0.5738282203674316, 0.3781310021877289, 0.8788496851921082, 0.4046451151371002, 0.5701395273208618]",R,2001
42,Bill Clinton,"[0.3418184816837311, 0.8033769130706787, 0.12032534927129745, 0.6623185276985168, 0.8939002156257629, 0.6795989871025085, 0.46753111481666565, 0.5062729120254517, 0.8702760338783264, 0.16988550126552582, 0.7700548768043518, 0.12145142257213593, 0.040569696575403214, 0.3634691834449768, 0.3392210006713867, 0.9039379358291626, 0.8487279415130615, 0.7179559469223022, 0.49364686012268066, 0.544343113899231, 0.5409142374992371, 0.3937504291534424, 0.8207128643989563, 0.7148779630661011, 0.38887929916381836, 0.6260362267494202, 0.6380565762519836, 0.736292839050293, 0.33490508794784546, 0.7409449219703674, 0.4549112617969513, 0.3949788808822632, 0.8598145842552185, 0.5606412887573242, 0.8324596881866455, 0.8665462732315063, 0.3478408455848694, 0.7496384382247925, 0.30024489760398865, 0.19867819547653198, 0.6973081231117249, 0.8006242513656616, 0.46305981278419495, 0.3172551989555359, 0.584069550037384, 0.514702558517456, 0.6302465200424194, 0.5175892114639282, 0.8122937679290771, 0.24355202913284302, 0.6092418432235718, 0.5716047883033752, 0.14946074783802032, 0.26761844754219055, 0.505568265914917, 0.5664300322532654, 0.7333336472511292, 0.6168327927589417, 0.7681402564048767, 0.5608277320861816, 0.38881149888038635, 0.46631938219070435, 0.7576167583465576, 0.28930988907814026, 0.22457937896251678, 0.5426318049430847, 0.3597107231616974, 0.4743126928806305, 0.9082370400428772, 0.5003210306167603, 0.5786451697349548, 0.8889617919921875, 0.824148416519165, 0.6718364953994751, 0.4535864591598511, 0.49039873480796814, 0.0830111876130104, 0.3087116479873657, 0.7164033651351929, 0.09276321530342102, 0.20313583314418793, 0.7779764533042908, 0.7700724005699158, 0.40422943234443665, 0.8015853762626648, 0.8243659138679504, 0.6334839463233948, 0.7738615870475769, 0.43373534083366394, 0.8404608964920044, 0.4991838037967682, 0.26411953568458557, 0.2472132444381714, 0.775296151638031, 0.3101845681667328, 0.37873128056526184, 0.7520764470100403, 0.18358047306537628, 0.5601644515991211, 0.6845310926437378]",D,1993
41,George H. W. Bush,"[0.9471126794815063, 0.9082638025283813, 0.865063488483429, 0.8256637454032898, 0.9188439846038818, 0.9123750329017639, 0.9179840683937073, 0.7409239411354065, 0.8243461847305298, 0.8971571922302246, 0.9396204352378845, 0.8798845410346985, 0.8768330216407776, 0.8987497091293335, 0.7281366586685181, 0.8172964453697205, 0.8720884919166565, 0.84710693359375, 0.8034782409667969, 0.8959677219390869, 0.9063342809677124, 0.7950840592384338, 0.9210766553878784, 0.9145268201828003, 0.9222134947776794, 0.8499316573143005, 0.7903797626495361, 0.8956518173217773, 0.8920456171035767, 0.9225471019744873, 0.9243437647819519, 0.8673427700996399, 0.8670453429222107, 0.8730894923210144, 0.9184355139732361, 0.8885542750358582, 0.9323622584342957, 0.9006123542785645, 0.8748961091041565, 0.8384080529212952, 0.9081270098686218, 0.8128516674041748, 0.8564721941947937, 0.8976351618766785, 0.9224503040313721, 0.8875775337219238, 0.8441658020019531, 0.7623177170753479, 0.7536314129829407, 0.906235933303833, 0.9194452166557312, 0.9356209635734558, 0.8985097408294678, 0.9121801257133484, 0.8559156656265259, 0.8604356050491333, 0.9488802552223206, 0.8486369252204895, 0.8478618860244751, 0.9156221747398376, 0.8923132419586182, 0.6511380076408386, 0.951329231262207, 0.9085676670074463, 0.8515888452529907, 0.931800365447998, 0.9200192093849182, 0.9001423120498657, 0.8567874431610107, 0.8046395778656006, 0.8361618518829346, 0.9016029238700867, 0.961162805557251, 0.9232774376869202, 0.8694565296173096, 0.9132264852523804, 0.9332072138786316, 0.869265079498291, 0.9171993732452393, 0.9298027753829956, 0.9018910527229309, 0.8905524015426636, 0.8522614240646362, 0.954094648361206, 0.8759810924530029, 0.742222785949707, 0.9235004186630249, 0.8789397478103638, 0.8229193687438965, 0.8794489502906799, 0.9388635754585266, 0.9126117825508118, 0.9267026782035828, 0.8373860120773315, 0.8437173366546631, 0.8958531022071838, 0.8943039774894714, 0.8147727251052856, 0.931556224822998, 0.8814108371734619]",R,1989
40,Ronald Reagan,"[0.7697989344596863, 0.9375361800193787, 0.8633349537849426, 0.7212925553321838, 0.805417537689209, 0.8168865442276001, 0.8040639162063599, 0.9042813777923584, 0.8358838558197021, 0.8229674100875854, 0.8216003179550171, 0.8640676140785217, 0.8637153506278992, 0.8206467032432556, 0.8995192646980286, 0.916187584400177, 0.9090375900268555, 0.9232964515686035, 0.9454671144485474, 0.8557978868484497, 0.8402929902076721, 0.8965195417404175, 0.8262032866477966, 0.7481590509414673, 0.8558433055877686, 0.9011319875717163, 0.8534199595451355, 0.8361499905586243, 0.859562337398529, 0.8870006203651428, 0.890471339225769, 0.7756403088569641, 0.9169267416000366, 0.8835970759391785, 0.8510019779205322, 0.757407546043396, 0.8253034353256226, 0.8827196359634399, 0.8213150501251221, 0.7515579462051392, 0.8822485208511353, 0.6885427832603455, 0.8373638987541199, 0.8605967164039612, 0.867611289024353, 0.8302778005599976, 0.8478290438652039, 0.8935282826423645, 0.8827526569366455, 0.7969698309898376, 0.9016219973564148, 0.8298999667167664, 0.8504893779754639, 0.92292720079422, 0.9448816180229187, 0.8622682094573975, 0.8476437330245972, 0.7341107726097107, 0.5551638007164001, 0.8965310454368591, 0.7929954528808594, 0.8738161325454712, 0.9241940379142761, 0.8032532930374146, 0.6609010696411133, 0.8989486694335938, 0.8337554931640625, 0.9185154438018799, 0.8902474641799927, 0.9227580428123474, 0.9137569665908813, 0.8884264826774597, 0.9302692413330078, 0.8543359637260437, 0.7925938367843628, 0.8422341346740723, 0.891909122467041, 0.8433017730712891, 0.8477075695991516, 0.8435424566268921, 0.8314393758773804, 0.7922648787498474, 0.934876024723053, 0.9159961938858032, 0.8548418879508972, 0.6765612363815308, 0.8458417654037476, 0.8688775897026062, 0.5306959748268127, 0.9217701554298401, 0.8318318128585815, 0.8428516983985901, 0.8665010333061218, 0.804473340511322, 0.79645174741745, 0.857305109500885, 0.9387915730476379, 0.762783408164978, 0.7324798107147217, 0.8603723645210266]",R,1981
39,Jimmy Carter,"[0.911738395690918, 0.876940906047821, 0.7822903394699097, 0.7428572177886963, 0.9169892072677612, 0.6540042161941528, 0.7686944603919983, 0.8834171891212463, 0.44844314455986023, 0.8540151119232178, 0.8159472346305847, 0.7884348630905151, 0.7207596302032471, 0.6972050666809082, 0.8417219519615173, 0.8323934078216553, 0.734924852848053, 0.7812590599060059, 0.69370037317276, 0.7347737550735474, 0.6524084806442261, 0.6790423393249512, 0.8539469838142395, 0.6845055818557739, 0.8526002764701843, 0.6478362083435059, 0.8776801824569702, 0.8233864903450012, 0.8464207053184509, 0.4565276503562927, 0.9088441729545593, 0.4745938777923584, 0.8172400593757629, 0.7968977689743042, 0.8718015551567078, 0.907604992389679, 0.7896682620048523, 0.9239488244056702, 0.8022797107696533, 0.8834266662597656, 0.8728163838386536, 0.6545668244361877, 0.8572338223457336, 0.8570961356163025, 0.8937944769859314, 0.8896118998527527, 0.46732097864151, 0.78092360496521, 0.7534990310668945, 0.7120447754859924, 0.8232184052467346, 0.8778709173202515, 0.8425289392471313, 0.6779940128326416, 0.7399256229400635, 0.7162331938743591, 0.7623172402381897, 0.7902271151542664, 0.8527849912643433, 0.8838696479797363, 0.7086791396141052, 0.8774353861808777, 0.7722467184066772, 0.7262314558029175, 0.7572952508926392, 0.8354443907737732, 0.8257362842559814, 0.8473596572875977, 0.6658121347427368, 0.9045646786689758, 0.734753429889679, 0.8044402599334717, 0.8221110105514526, 0.831109881401062, 0.7296276092529297, 0.792414128780365, 0.8597689867019653, 0.7519780993461609, 0.8160974979400635, 0.8587437272071838, 0.7114574313163757, 0.8293954730033875, 0.816012442111969, 0.6456227898597717, 0.7437129616737366, 0.8575462102890015, 0.5722442269325256, 0.9092119932174683, 0.7517606019973755, 0.8823981285095215, 0.794525682926178, 0.8642101287841797, 0.5720362067222595, 0.8435338735580444, 0.8233540654182434, 0.7599010467529297, 0.853064239025116, 0.6524498462677002, 0.8525870442390442, 0.9325336217880249]",D,1977
38,Gerald Ford,"[0.5577683448791504, 0.6111673712730408, 0.7569892406463623, 0.7341395616531372, 0.820058286190033, 0.8598731756210327, 0.7299023866653442, 0.8488538265228271, 0.31559136509895325, 0.7227014303207397, 0.7464041709899902, 0.7121905088424683, 0.6471242308616638, 0.8915852308273315, 0.8189556002616882, 0.7899410128593445, 0.9041229486465454, 0.375500351190567, 0.5731528997421265, 0.7395730018615723, 0.6656123995780945, 0.6108577847480774, 0.7908148169517517, 0.7937552332878113, 0.6922822594642639, 0.6909865736961365, 0.8172547221183777, 0.75123131275177, 0.3205628991127014, 0.8277309536933899, 0.6743049025535583, 0.7659485340118408, 0.5057456493377686, 0.709455132484436, 0.542149543762207, 0.8780222535133362, 0.8840640783309937, 0.6755900382995605, 0.6763238310813904, 0.8296325206756592, 0.8573431372642517, 0.4605996310710907, 0.5513185858726501, 0.6129027009010315, 0.619160532951355, 0.8197187185287476, 0.6538329720497131, 0.556513786315918, 0.8074391484260559, 0.19701938331127167, 0.8742793202400208, 0.841057538986206, 0.587607741355896, 0.7379902005195618, 0.8216229677200317, 0.23679450154304504, 0.8467774987220764, 0.45339760184288025, 0.6618369221687317, 0.6447798609733582, 0.7233502864837646, 0.768795907497406, 0.553347110748291, 0.654737651348114, 0.7616468667984009, 0.767108142375946, 0.6050099730491638, 0.7795474529266357, 0.853822648525238, 0.8290401697158813, 0.40974316000938416, 0.8723891377449036, 0.8105364441871643, 0.5533102750778198, 0.6190325617790222, 0.7350625395774841, 0.5403504371643066, 0.787674605846405, 0.4857541620731354, 0.8284057974815369, 0.82472163438797, 0.6490810513496399, 0.625468909740448, 0.546970784664154, 0.6487770676612854, 0.7268118262290955, 0.8132949471473694, 0.44039708375930786, 0.8906717896461487, 0.6596671938896179, 0.7743874788284302, 0.711641788482666, 0.351426899433136, 0.42964795231819153, 0.48441362380981445, 0.5987972617149353, 0.7067998051643372, 0.68348628282547, 0.6887598633766174, 0.8686217069625854]",R,1974
37,Richard Nixon,"[0.6991182565689087, 0.32070785760879517, 0.3232477903366089, 0.6183969378471375, 0.1496078073978424, 0.11198968440294266, 0.2876884937286377, 0.03349509835243225, 0.24422605335712433, 0.5216213464736938, 0.3135049641132355, 0.34221845865249634, 0.6126816272735596, 0.25423651933670044, 0.24749855697155, 0.44587233662605286, 0.5050702691078186, 0.5935912728309631, 0.253917932510376, 0.06949854642152786, 0.19421115517616272, 0.4000564515590668, 0.4718002378940582, 0.26272377371788025, 0.20297545194625854, 0.4148510992527008, 0.4157887101173401, 0.4206112325191498, 0.2784167230129242, 0.5803144574165344, 0.5174667239189148, 0.18653716146945953, 0.40858587622642517, 0.6686789393424988, 0.39290595054626465, 0.12957413494586945, 0.41285160183906555, 0.6520431041717529, 0.6043180823326111, 0.236019566655159, 0.6504150629043579, 0.7255371809005737, 0.12750235199928284, 0.3818870782852173, 0.4650697410106659, 0.5723711848258972, 0.4909340739250183, 0.40862593054771423, 0.1237322986125946, 0.0773622989654541, 0.4720410108566284, 0.46309560537338257, 0.40405622124671936, 0.3537898063659668, 0.4896489381790161, 0.4636023938655853, 0.4505479037761688, 0.651817262172699, 0.6069691181182861, 0.2568477690219879, 0.4714752435684204, 0.42811596393585205, 0.45291268825531006, 0.2958277463912964, 0.3225056529045105, 0.6280837059020996, 0.30707666277885437, 0.4384203553199768, 0.256761759519577, 0.2605644166469574, 0.5235722661018372, 0.0935092493891716, 0.11902834475040436, 0.2502002716064453, 0.49008211493492126, 0.2886362671852112, 0.40312838554382324, 0.3534742295742035, 0.4316267669200897, 0.5193333029747009, 0.4893166124820709, 0.4461892545223236, 0.6489328742027283, 0.10784770548343658, 0.49866119027137756, 0.023671677336096764, 0.10558590292930603, 0.2212565392255783, 0.4323551058769226, 0.19617299735546112, 0.7112652063369751, 0.41235941648483276, 0.42752811312675476, 0.07364347577095032, 0.52271568775177, 0.00985755305737257, 0.2985342741012573, 0.2573157250881195, 0.45911043882369995, 0.35230639576911926]",R,1969
