,name,ratings,party,year
36,Lyndon B. Johnson,"[0.7672675251960754, 0.7823775410652161, 0.7394745349884033, 0.7761771082878113, 0.6428415775299072, 0.7387649416923523, 0.7500889301300049, 0.8445088863372803, 0.8265947103500366, 0.6906716227531433, 0.761689305305481, 0.8909218311309814, 0.6908083558082581, 0.7021245360374451, 0.4877353012561798, 0.7298648953437805, 0.7311645746231079, 0.7386277318000793, 0.810483992099762, 0.727809488773346, 0.758334755897522, 0.6384682655334473, 0.7770784497261047, 0.7598507404327393, 0.718781590461731, 0.7245766520500183, 0.8212037086486816, 0.8572311997413635, 0.6977097392082214, 0.6273832321166992, 0.8155757784843445, 0.7643914818763733, 0.8248146176338196, 0.6428221464157104, 0.8158533573150635, 0.8158427476882935, 0.8090840578079224, 0.8657623529434204, 0.8122403025627136, 0.8150032162666321, 0.8461756706237793, 0.7737882733345032, 0.7872187495231628, 0.691832423210144, 0.6588810086250305, 0.3458423316478729, 0.8681520819664001, 0.7130609750747681, 0.82345050573349, 0.7668982744216919, 0.8656686544418335, 0.8335047960281372, 0.7442229986190796, 0.6388630270957947, 0.8022217154502869, 0.8255189061164856, 0.8415769934654236, 0.809056282043457, 0.40222635865211487, 0.42650142312049866, 0.7886537313461304, 0.8376882672309875, 0.8505631685256958, 0.8902104496955872, 0.7965081334114075, 0.787945032119751, 0.7671349048614502, 0.8342378735542297, 0.6960030794143677, 0.6913190484046936, 0.7530086040496826, 0.825487494468689, 0.8585832118988037, 0.9035479426383972, 0.7991920113563538, 0.7640960216522217, 0.7868820428848267, 0.8588192462921143, 0.4368932247161865, 0.8323361873626709, 0.8805505633354187, 0.7835373282432556, 0.6495565176010132, 0.40634483098983765, 0.8283835649490356, 0.8996682167053223, 0.8157874941825867, 0.834747314453125, 0.585528552532196, 0.7795851230621338, 0.8805736899375916, 0.47958096861839294, 0.7586339116096497, 0.6374599933624268, 0.759020984172821, 0.8130128383636475, 0.6812883615493774, 0.7034879326820374, 0.8172213435173035, 0.7824040651321411]",D,1963
35,John F. Kennedy,"[0.8894488215446472, 0.9079752564430237, 0.895276665687561, 0.9335692524909973, 0.8986711502075195, 0.8989003300666809, 0.898746132850647, 0.9158594608306885, 0.7758668661117554, 0.9230493903160095, 0.8626046776771545, 0.8343201875686646, 0.8708810806274414, 0.808940589427948, 0.8512077331542969, 0.9487265348434448, 0.8906623721122742, 0.8684921860694885, 0.9212515354156494, 0.8887965679168701, 0.9078554511070251, 0.9225149154663086, 0.8486119508743286, 0.9310457706451416, 0.9526371359825134, 0.9415777921676636, 0.9252262115478516, 0.8860772252082825, 0.8937913179397583, 0.9142723679542542, 0.9097034931182861, 0.896692156791687, 0.8663689494132996, 0.9456192255020142, 0.9585110545158386, 0.9252539873123169, 0.9362389445304871, 0.9499195218086243, 0.9334461688995361, 0.9510922431945801, 0.9332128167152405, 0.9057641625404358, 0.8657594919204712, 0.948060929775238, 0.9386628866195679, 0.9300302863121033, 0.9013122916221619, 0.9417548775672913, 0.9489954113960266, 0.9500386118888855, 0.950664758682251, 0.9150007367134094, 0.9532251358032227, 0.919903576374054, 0.9375088810920715, 0.9090439081192017, 0.8923118710517883, 0.9384638071060181, 0.9190012216567993, 0.8940159678459167, 0.9444380402565002, 0.8983876705169678, 0.9110772609710693, 0.9369924068450928, 0.9282209873199463, 0.8901652097702026, 0.8802915215492249, 0.9265507459640503, 0.909904420375824, 0.9186475276947021, 0.918512761592865, 0.8958572745323181, 0.941253125667572, 0.8569228649139404, 0.935417890548706, 0.9211935997009277, 0.9265812635421753, 0.8432601690292358, 0.9301953911781311, 0.8938748836517334, 0.9364163875579834, 0.901269793510437, 0.8611807823181152, 0.8826255202293396, 0.942902684211731, 0.9167123436927795, 0.8572736382484436, 0.9386470317840576, 0.9554775953292847, 0.9353708624839783, 0.9085705876350403, 0.9122353792190552, 0.9223318099975586, 0.927104651927948, 0.9138658046722412, 0.8997414708137512, 0.8661370277404785, 0.8616399168968201, 0.9038204550743103, 0.9072728753089905]",D,1961
34,Dwight D. Eisenhower,"[0.8392608165740967, 0.7358214855194092, 0.8201524019241333, 0.8497792482376099, 0.874875009059906, 0.8565812110900879, 0.880348265171051, 0.7173163890838623, 0.8184511661529541, 0.850035548210144, 0.842705488204956, 0.8303157091140747, 0.7047005891799927, 0.851376473903656, 0.8183434009552002, 0.7044985890388489, 0.8139306902885437, 0.8329644203186035, 0.8524743914604187, 0.8440027832984924, 0.7970983982086182, 0.8111615777015686, 0.7428145408630371, 0.8670040369033813, 0.8314699530601501, 0.8613097071647644, 0.8901375532150269, 0.9133947491645813, 0.8400939106941223, 0.863360583782196, 0.8028205037117004, 0.839617133140564, 0.7351886034011841, 0.816604733467102, 0.8639305233955383, 0.8774866461753845, 0.7538145184516907, 0.8653474450111389, 0.8317112326622009, 0.8986799120903015, 0.8080909848213196, 0.8358482122421265, 0.7869319319725037, 0.8569406270980835, 0.9137261509895325, 0.8454354405403137, 0.8769424557685852, 0.8931549787521362, 0.8314815759658813, 0.901619553565979, 0.8712939620018005, 0.8118278384208679, 0.784167468547821, 0.8167335391044617, 0.8852793574333191, 0.853142499923706, 0.8063650131225586, 0.8022598028182983, 0.7239790558815002, 0.7424989938735962, 0.8565618395805359, 0.8327216506004333, 0.7591468691825867, 0.8772375583648682, 0.7780596613883972, 0.8318043351173401, 0.8806390166282654, 0.8167924284934998, 0.8503847122192383, 0.8061031699180603, 0.7931571006774902, 0.7591099739074707, 0.7839165329933167, 0.8519139289855957, 0.8616142272949219, 0.8079736828804016, 0.8554623126983643, 0.8434253931045532, 0.7987174391746521, 0.8446437120437622, 0.7692230343818665, 0.8972075581550598, 0.7490188479423523, 0.8485721349716187, 0.8471072316169739, 0.8474597930908203, 0.8269944190979004, 0.892311692237854, 0.822881817817688, 0.7683067321777344, 0.8624938130378723, 0.7973951101303101, 0.8820920586585999, 0.8309307098388672, 0.8550591468811035, 0.9053289890289307, 0.7769128084182739, 0.8141689896583557, 0.8508851528167725, 0.8212065696716309]",R,1953
33,Harry S. Truman,"[0.5319236516952515, 0.8925847411155701, 0.8349990844726562, 0.8831515312194824, 0.8242529034614563, 0.7759833931922913, 0.8241374492645264, 0.8027739524841309, 0.8811615109443665, 0.7881214022636414, 0.84980708360672, 0.8979520797729492, 0.8220004439353943, 0.8240388035774231, 0.7549537420272827, 0.7557611465454102, 0.7280229926109314, 0.8346806168556213, 0.8563931584358215, 0.813019871711731, 0.7548233270645142, 0.7806410789489746, 0.8707770705223083, 0.7363014221191406, 0.9142747521400452, 0.8390412926673889, 0.7824321985244751, 0.8616206645965576, 0.8082163333892822, 0.8605827689170837, 0.7611244320869446, 0.8610587120056152, 0.8664024472236633, 0.8697702884674072, 0.8493902087211609, 0.8502386808395386, 0.6547510027885437, 0.8630004525184631, 0.7917470932006836, 0.793940007686615, 0.8705994486808777, 0.8648439049720764, 0.7772993445396423, 0.8778907656669617, 0.8517231941223145, 0.7507074475288391, 0.6158148050308228, 0.7739313840866089, 0.8554746508598328, 0.8528315424919128, 0.8220083117485046, 0.8345101475715637, 0.6862537860870361, 0.8289316892623901, 0.855614960193634, 0.820250928401947, 0.5991560220718384, 0.8058448433876038, 0.6845217943191528, 0.8374106287956238, 0.7278968691825867, 0.8804588913917542, 0.8719735741615295, 0.8015885949134827, 0.8334819078445435, 0.8609906435012817, 0.7283487319946289, 0.8280616998672485, 0.857131838798523, 0.8237892389297485, 0.731546938419342, 0.8259700536727905, 0.890667736530304, 0.8100161552429199, 0.8743728399276733, 0.8097175359725952, 0.7706422805786133, 0.817195475101471, 0.7525040507316589, 0.8676436543464661, 0.8431253433227539, 0.8210766315460205, 0.8051921725273132, 0.8554114699363708, 0.7188118100166321, 0.7258434891700745, 0.7874654531478882, 0.824164628982544, 0.6798310279846191, 0.8810949325561523, 0.7506029009819031, 0.8593679070472717, 0.761769711971283, 0.7619827389717102, 0.5194940567016602, 0.8016253113746643, 0.7146265506744385, 0.8862323760986328, 0.7179997563362122, 0.889777421951294]",D,1945
32,Franklin D. Roosevelt,"[0.9074618220329285, 0.8892159461975098, 0.9110596179962158, 0.8528617024421692, 0.9162439107894897, 0.85403972864151, 0.9017054438591003, 0.9167832732200623, 0.9236124157905579, 0.8601292967796326, 0.8757595419883728, 0.9129104614257812, 0.8809453248977661, 0.7723587155342102, 0.8852248191833496, 0.8202394247055054, 0.8979334235191345, 0.8758864402770996, 0.8585767149925232, 0.8246259689331055, 0.9137251377105713, 0.8604201078414917, 0.9013230204582214, 0.9012699723243713, 0.8779942989349365, 0.8511595726013184, 0.8935382962226868, 0.8958367109298706, 0.890232264995575, 0.8480948805809021, 0.8951519727706909, 0.8936803936958313, 0.8287393450737, 0.8560633659362793, 0.8955197334289551, 0.8615930676460266, 0.8761482834815979, 0.8919249176979065, 0.910191535949707, 0.908161997795105, 0.923767626285553, 0.6254526376724243, 0.8847775459289551, 0.9274010062217712, 0.8585178256034851, 0.875761091709137, 0.6977229118347168, 0.8836717009544373, 0.82635498046875, 0.9228999018669128, 0.6682043075561523, 0.9022793173789978, 0.8882631659507751, 0.8439833521842957, 0.6632536053657532, 0.8738659620285034, 0.7013437151908875, 0.9049737453460693, 0.8898911476135254, 0.9079639315605164, 0.8854658603668213, 0.8257342576980591, 0.6860417723655701, 0.6414433121681213, 0.9073763489723206, 0.8485579490661621, 0.8644506931304932, 0.8547957539558411, 0.8290467262268066, 0.8859953284263611, 0.8947486877441406, 0.8946581482887268, 0.9232652187347412, 0.8513131141662598, 0.8773106932640076, 0.9083088040351868, 0.6150159239768982, 0.8548074960708618, 0.8522440791130066, 0.841512143611908, 0.9000691175460815, 0.7674546837806702, 0.8196486234664917, 0.854334831237793, 0.7109444737434387, 0.8574928045272827, 0.910353422164917, 0.8977680206298828, 0.9108889102935791, 0.8905026316642761, 0.8793479800224304, 0.8966989517211914, 0.9093568921089172, 0.9073387384414673, 0.8822079300880432, 0.9013064503669739, 0.7975948452949524, 0.8725770115852356, 0.8559202551841736, 0.8950991630554199]",D,1933
31,Herbert Hoover,"[0.46561577916145325, 0.4228370785713196, 0.7077756524085999, 0.06585501879453659, 0.22222155332565308, 0.6141851544380188, 0.7473495006561279, 0.671035647392273, 0.7805903553962708, 0.43324384093284607, 0.18943369388580322, 0.34280791878700256, 0.13325554132461548, 0.7904897332191467, 0.5340266227722168, 0.7869293689727783, 0.6087421178817749, 0.0521136112511158, 0.4436053931713104, 0.3012520372867584, 0.012796926312148571, 0.15374453365802765, 0.7315256595611572, 0.7676345705986023, 0.0384259894490242, 0.5587239861488342, 0.39130473136901855, 0.3882698118686676, 0.6923054456710815, 0.28531569242477417, 0.5807884931564331, 0.7443333864212036, 0.12948903441429138, 0.12395133823156357, 0.09656240791082382, 0.7060669660568237, 0.5576567053794861, 0.8653160929679871, 0.06914413720369339, 0.16582706570625305, 0.491494745016098, 0.5011476278305054, 0.7022940516471863, 0.6306638121604919, 0.16760891675949097, 0.4391380846500397, 0.5632701516151428, 0.07141901552677155, 0.19726575911045074, 0.1262005716562271, 0.6219884753227234, 0.5962991118431091, 0.8131787180900574, 0.42945459485054016, 0.3857559859752655, 0.7414477467536926, 0.5148497819900513, 0.6139471530914307, 0.6795695424079895, 0.6596966981887817, 0.7643172740936279, 0.837888240814209, 0.6841365694999695, 0.2687341570854187, 0.257904052734375, 0.08776556700468063, 0.22553184628486633, 0.7684144377708435, 0.6846201419830322, 0.6356862187385559, 0.5821094512939453, 0.07539842277765274, 0.42469820380210876, 0.25746384263038635, 0.5678203701972961, 0.4720078110694885, 0.731970489025116, 0.6661728620529175, 0.7266538143157959, 0.7809141874313354, 0.5185004472732544, 0.7416232228279114, 0.2932075560092926, 0.5284212827682495, 0.06820438802242279, 0.3216990530490875, 0.019152965396642685, 0.4048519432544708, 0.2650556266307831, 0.7522906064987183, 0.04658648371696472, 0.7005900740623474, 0.34568527340888977, 0.4547191560268402, 0.7334869503974915, 0.12130571156740189, 0.4358741044998169, 0.7865307331085205, 0.5629569888114929, 0.7762367129325867]",R,1929
30,Calvin Coolidge,"[0.8095266222953796, 0.500536322593689, 0.7178098559379578, 0.6143308281898499, 0.5888098478317261, 0.6055082082748413, 0.6086894273757935, 0.6418635845184326, 0.3236331641674042, 0.39585062861442566, 0.7631462812423706, 0.5876986980438232, 0.5597882866859436, 0.37434402108192444, 0.5812128782272339, 0.5547706484794617, 0.8264526724815369, 0.8466185331344604, 0.5607982277870178, 0.4901604652404785, 0.567091703414917, 0.7545056343078613, 0.7921239137649536, 0.7800701260566711, 0.8421850800514221, 0.4852858781814575, 0.6967494487762451, 0.8449358940124512, 0.5289477705955505, 0.36595645546913147, 0.8178830742835999, 0.6052926778793335, 0.6901748180389404, 0.6355322003364563, 0.4969887137413025, 0.6397132277488708, 0.8298822045326233, 0.48540374636650085, 0.5470488667488098, 0.46855849027633667, 0.6780310869216919, 0.7149030566215515, 0.6530572772026062, 0.39718735218048096, 0.5382252335548401, 0.8495416045188904, 0.5450361967086792, 0.5738715529441833, 0.7309433221817017, 0.49487486481666565, 0.5921334624290466, 0.519564688205719, 0.6871779561042786, 0.678123950958252, 0.7631666660308838, 0.7268503308296204, 0.8769263029098511, 0.6039110422134399, 0.8381556868553162, 0.4416048526763916, 0.7349287867546082, 0.8104650974273682, 0.6840701103210449, 0.8531964421272278, 0.7092731595039368, 0.5483881235122681, 0.8942347764968872, 0.23911671340465546, 0.7281522154808044, 0.7680459022521973, 0.763035237789154, 0.847273051738739, 0.37805449962615967, 0.5449851751327515, 0.6358852982521057, 0.4053535759449005, 0.6896830201148987, 0.712357759475708, 0.8260287642478943, 0.4789378046989441, 0.7026952505111694, 0.766218900680542, 0.6374207139015198, 0.7168172001838684, 0.7176606059074402, 0.6587600111961365, 0.6504575610160828, 0.41310957074165344, 0.7030094265937805, 0.6070203185081482, 0.7079188823699951, 0.7208877801895142, 0.7733621597290039, 0.7747459411621094, 0.7466287016868591, 0.46256133913993835, 0.6048106551170349, 0.5133879780769348, 0.2085663229227066, 0.46523159742355347]",R,1923
29,Warren G. Harding,"[0.6573396921157837, 0.07579212635755539, 0.8058735132217407, 0.7811697721481323, 0.7217374444007874, 0.12247074395418167, 0.8457915782928467, 0.325865238904953, 0.9224320650100708, 0.6531972885131836, 0.8358537554740906, 0.0620294064283371, 0.06827229261398315, 0.08805564790964127, 0.9230572581291199, 0.6618691682815552, 0.8192238211631775, 0.4108712077140808, 0.722944974899292, 0.44074276089668274, 0.6638107299804688, 0.6113564372062683, 0.8790253400802612, 0.8896894454956055, 0.6863521933555603, 0.840678334236145, 0.13357126712799072, 0.6877239942550659, 0.8900493383407593, 0.6773340702056885, 0.17707309126853943, 0.9366809129714966, 0.5837511420249939, 0.37432020902633667, 0.47067245841026306, 0.829522967338562, 0.08027901500463486, 0.8230063319206238, 0.5201624035835266, 0.629098653793335, 0.5905189514160156, 0.6460762619972229, 0.39557868242263794, 0.8651606440544128, 0.9165971279144287, 0.13639701902866364, 0.11886197328567505, 0.6157038807868958, 0.048493482172489166, 0.13142891228199005, 0.6885642409324646, 0.7220376133918762, 0.3937007486820221, 0.8528326153755188, 0.4692319631576538, 0.41927072405815125, 0.7745457887649536, 0.7808349132537842, 0.2956651449203491, 0.33645740151405334, 0.8804720640182495, 0.28835734724998474, 0.8409669995307922, 0.258098840713501, 0.15742747485637665, 0.5611164569854736, 0.743091881275177, 0.9038740396499634, 0.5619731545448303, 0.64201420545578, 0.7955611348152161, 0.4236050248146057, 0.09127667546272278, 0.7326412796974182, 0.11606147140264511, 0.31225860118865967, 0.6290531158447266, 0.7946329712867737, 0.18175075948238373, 0.8843516707420349, 0.32699623703956604, 0.8994293808937073, 0.48659852147102356, 0.5827250480651855, 0.4829953908920288, 0.6883342266082764, 0.8338755369186401, 0.790730357170105, 0.8021513223648071, 0.4791674315929413, 0.09114973247051239, 0.027297256514430046, 0.3686390519142151, 0.8642215728759766, 0.544572114944458, 0.7515252828598022, 0.2508474588394165, 0.7638906836509705, 0.8063724040985107, 0.8980568647384644]",R,1921
28,Woodrow Wilson,"[0.77332603931427, 0.8767823576927185, 0.7209476232528687, 0.7744148373603821, 0.8417387008666992, 0.8875561952590942, 0.7850980162620544, 0.8320475220680237, 0.7230194807052612, 0.7748095989227295, 0.6960489749908447, 0.856490433216095, 0.8754736185073853, 0.8095153570175171, 0.729151725769043, 0.7291519045829773, 0.866600751876831, 0.875164270401001, 0.7145113348960876, 0.8893438577651978, 0.7824774980545044, 0.7794926762580872, 0.818566083908081, 0.8871265053749084, 0.7957382798194885, 0.8140127062797546, 0.9013236165046692, 0.836350679397583, 0.8414615988731384, 0.6688874959945679, 0.831466555595398, 0.8296375274658203, 0.8429989218711853, 0.7278211116790771, 0.7862147092819214, 0.7791069149971008, 0.8540152907371521, 0.8001697659492493, 0.7586261630058289, 0.7684260010719299, 0.8523972034454346, 0.7920332551002502, 0.829328715801239, 0.9000152349472046, 0.8685629367828369, 0.8027768135070801, 0.7109929323196411, 0.7439396977424622, 0.7953757047653198, 0.8185213804244995, 0.737120509147644, 0.8341018557548523, 0.8493584394454956, 0.7404859662055969, 0.8550692200660706, 0.8014022707939148, 0.7809074521064758, 0.8696994781494141, 0.8260716199874878, 0.6026304960250854, 0.7377883791923523, 0.8085569143295288, 0.8185129165649414, 0.8927099704742432, 0.813948929309845, 0.8284668326377869, 0.5830994248390198, 0.885698676109314, 0.7432407736778259, 0.7986764311790466, 0.8457963466644287, 0.7677541971206665, 0.6568308472633362, 0.6520803570747375, 0.7754644751548767, 0.5591968297958374, 0.8477675318717957, 0.8532093167304993, 0.8517351150512695, 0.8223483562469482, 0.873810887336731, 0.8120112419128418, 0.7937268614768982, 0.8342054486274719, 0.7509251236915588, 0.8462449908256531, 0.5372933149337769, 0.8779988288879395, 0.8907631635665894, 0.792820394039154, 0.8431965112686157, 0.8523503541946411, 0.6970359683036804, 0.7566205859184265, 0.8059357404708862, 0.8292989134788513, 0.7889173030853271, 0.804851770401001, 0.7651395797729492, 0.6404047608375549]",D,1913
27,William Howard Taft,"[0.8123455047607422, 0.7845635414123535, 0.7433226108551025, 0.9139292240142822, 0.5673434138298035, 0.8946605324745178, 0.8769491314888, 0.9007864594459534, 0.9276957511901855, 0.7422891855239868, 0.8840416073799133, 0.8936560153961182, 0.7888273596763611, 0.6694561243057251, 0.7136707901954651, 0.6581298112869263, 0.7574825286865234, 0.8191840648651123, 0.8375332355499268, 0.32949963212013245, 0.6574459671974182, 0.8920930624008179, 0.7407891750335693, 0.8229101896286011, 0.7895123958587646, 0.7917776703834534, 0.47119247913360596, 0.7987502217292786, 0.5861014723777771, 0.6855581998825073, 0.6243695020675659, 0.8223857879638672, 0.879570484161377, 0.7276552319526672, 0.8339757323265076, 0.9153924584388733, 0.9281953573226929, 0.8517013788223267, 0.881355881690979, 0.6812862753868103, 0.36945202946662903, 0.8129364252090454, 0.8328024744987488, 0.8720012903213501, 0.8905348181724548, 0.8191564083099365, 0.9128052592277527, 0.8658178448677063, 0.7881987690925598, 0.47114044427871704, 0.6413437128067017, 0.6478020548820496, 0.7500421404838562, 0.806626558303833, 0.7813053727149963, 0.7685643434524536, 0.9132508635520935, 0.7592380046844482, 0.8678355813026428, 0.8300252556800842, 0.7074185013771057, 0.840006411075592, 0.8714059591293335, 0.752819299697876, 0.5667904019355774, 0.8571087121963501, 0.8022956848144531, 0.9435542821884155, 0.8379542827606201, 0.8348763585090637, 0.8270081281661987, 0.8165706992149353, 0.7360403537750244, 0.8071929812431335, 0.8164912462234497, 0.7420573234558105, 0.7842633724212646, 0.9245940446853638, 0.7856966853141785, 0.47898584604263306, 0.8667727708816528, 0.8091566562652588, 0.6036723852157593, 0.7060341238975525, 0.8487737774848938, 0.5031662583351135, 0.5659075975418091, 0.9078893661499023, 0.8555589318275452, 0.7729600667953491, 0.4077770411968231, 0.7114976048469543, 0.8219588398933411, 0.8018773198127747, 0.8393937349319458, 0.8048362135887146, 0.8101354837417603, 0.8749452829360962, 0.8413059711456299, 0.8780025839805603]",R,1909
26,Theodore Roosevelt,"[0.7684969305992126, 0.7896856069564819, 0.7668318748474121, 0.9076221585273743, 0.8468143939971924, 0.8196036219596863, 0.7891950011253357, 0.9044238328933716, 0.6309547424316406, 0.8420889377593994, 0.8577114343643188, 0.755964457988739, 0.8772702217102051, 0.70551598072052, 0.8942938446998596, 0.854885458946228, 0.8215251564979553, 0.7809192538261414, 0.8679735064506531, 0.7905498147010803, 0.842284083366394, 0.8222070932388306, 0.8881051540374756, 0.7870299816131592, 0.8536767959594727, 0.8703121542930603, 0.8251025676727295, 0.9496676325798035, 0.8653892874717712, 0.7827847003936768, 0.6372495293617249, 0.8847101330757141, 0.8878290057182312, 0.8915373086929321, 0.8658822774887085, 0.8457731604576111, 0.8829401731491089, 0.8464874029159546, 0.8783752918243408, 0.8801873326301575, 0.8058604001998901, 0.8612217307090759, 0.8552305698394775, 0.7475904822349548, 0.8743700385093689, 0.8478477597236633, 0.822548508644104, 0.7718608975410461, 0.8428406715393066, 0.7968467473983765, 0.9061849117279053, 0.8362821936607361, 0.8308258652687073, 0.8031113147735596, 0.7702107429504395, 0.8820396661758423, 0.826991081237793, 0.8333720564842224, 0.7817933559417725, 0.8336363434791565, 0.7926194071769714, 0.8200981020927429, 0.9183239340782166, 0.8657086491584778, 0.910875141620636, 0.7933055758476257, 0.8534900546073914, 0.8484042286872864, 0.8040174245834351, 0.6937350630760193, 0.8623279333114624, 0.8907504081726074, 0.9174602627754211, 0.819083034992218, 0.8684432506561279, 0.7691280841827393, 0.8939027786254883, 0.8058246970176697, 0.8088260889053345, 0.8240095376968384, 0.8422309160232544, 0.8683791160583496, 0.8264924883842468, 0.8688277006149292, 0.8627380132675171, 0.8411418795585632, 0.8453981876373291, 0.9254512190818787, 0.8662056922912598, 0.893017590045929, 0.9126235246658325, 0.7655248045921326, 0.8179599642753601, 0.8661127686500549, 0.8360283374786377, 0.8082136511802673, 0.9073129296302795, 0.8858303427696228, 0.8314294815063477, 0.7679633498191833]",R,1901
25,William McKinley,"[0.7361217141151428, 0.7837986350059509, 0.7287493348121643, 0.8364374041557312, 0.790562629699707, 0.6649462580680847, 0.8631390929222107, 0.7335695624351501, 0.8443347811698914, 0.8858505487442017, 0.7394474148750305, 0.9098523259162903, 0.9055394530296326, 0.8313471078872681, 0.9267964363098145, 0.8398696780204773, 0.8402565717697144, 0.7756303548812866, 0.8498708605766296, 0.6445066332817078, 0.8372480273246765, 0.6785518527030945, 0.918687105178833, 0.8433520793914795, 0.7474653720855713, 0.8956419825553894, 0.8551638126373291, 0.8748664259910583, 0.8335644006729126, 0.7815083265304565, 0.9253838062286377, 0.8559717535972595, 0.9129924178123474, 0.8724585771560669, 0.9033243656158447, 0.9252108335494995, 0.48984548449516296, 0.9308362603187561, 0.851473867893219, 0.8520928621292114, 0.8386180996894836, 0.8754615783691406, 0.6540706753730774, 0.765646755695343, 0.9060684442520142, 0.8875820636749268, 0.9201051592826843, 0.8387694358825684, 0.8444939851760864, 0.9152705073356628, 0.611947774887085, 0.6705923080444336, 0.7967116236686707, 0.8525053858757019, 0.8864938616752625, 0.9161169528961182, 0.6379935145378113, 0.8438588976860046, 0.8797796368598938, 0.8941813707351685, 0.8216221928596497, 0.8550574779510498, 0.8298466205596924, 0.9200307726860046, 0.8753226399421692, 0.8788094520568848, 0.8441807627677917, 0.8490522503852844, 0.8524153232574463, 0.8999964594841003, 0.879019021987915, 0.8023672103881836, 0.7086509466171265, 0.7710669636726379, 0.6776755452156067, 0.8997044563293457, 0.8427881002426147, 0.9020513892173767, 0.8290786743164062, 0.6909341812133789, 0.772779643535614, 0.7314047813415527, 0.8945397138595581, 0.5650642514228821, 0.378561794757843, 0.8867872357368469, 0.7344330549240112, 0.7548338174819946, 0.6798573732376099, 0.6747886538505554, 0.7981463670730591, 0.855866014957428, 0.9078899621963501, 0.8136343955993652, 0.9216309189796448, 0.8706386089324951, 0.7938053607940674, 0.8608194589614868, 0.8401011228561401, 0.663860023021698]",R,1897
24,Grover Cleveland,"[0.7654992341995239, 0.7263262271881104, 0.7551154494285583, 0.7952343225479126, 0.8326720595359802, 0.9025620818138123, 0.770567774772644, 0.820873498916626, 0.7429616451263428, 0.9205026626586914, 0.8731641173362732, 0.8371453881263733, 0.5994053483009338, 0.911007285118103, 0.81961989402771, 0.8535107970237732, 0.8934214115142822, 0.7836397290229797, 0.7759531736373901, 0.8719331622123718, 0.9135936498641968, 0.8457018733024597, 0.6989625096321106, 0.8092678785324097, 0.7785366773605347, 0.7191272377967834, 0.8508121371269226, 0.8519405722618103, 0.8094008564949036, 0.7631063461303711, 0.8514172434806824, 0.8015971183776855, 0.82051682472229, 0.8091619610786438, 0.7344520092010498, 0.7163848876953125, 0.9201167821884155, 0.8762387037277222, 0.6616578698158264, 0.8183584809303284, 0.7928702235221863, 0.800839364528656, 0.8518716096878052, 0.8216477632522583, 0.8873292207717896, 0.8687183260917664, 0.8750665783882141, 0.8818376064300537, 0.7792640328407288, 0.7133885025978088, 0.7958974838256836, 0.8290970325469971, 0.8730432391166687, 0.8063851594924927, 0.9061704277992249, 0.8401225209236145, 0.8473645448684692, 0.8677932620048523, 0.8095847368240356, 0.8820453882217407, 0.8530139923095703, 0.8123013973236084, 0.7894845604896545, 0.7606207728385925, 0.5706198215484619, 0.7941632866859436, 0.643754780292511, 0.7763864994049072, 0.8114457726478577, 0.8146117925643921, 0.8896510004997253, 0.8501489162445068, 0.8082172274589539, 0.7050482630729675, 0.7579487562179565, 0.8464252352714539, 0.893302857875824, 0.7323145270347595, 0.564211905002594, 0.880716860294342, 0.859662652015686, 0.7813836336135864, 0.9053244590759277, 0.8664101362228394, 0.8594786524772644, 0.8245751857757568, 0.8640195727348328, 0.7611950039863586, 0.8913165330886841, 0.8737820386886597, 0.862304151058197, 0.8089257478713989, 0.8174149394035339, 0.8783280253410339, 0.9174880385398865, 0.8679224848747253, 0.7603297829627991, 0.48930981755256653, 0.8957545757293701, 0.7860646843910217]",D,1893
